x,y,z,confidence,hand,gesture
-0.049214929,0.012421452,0.012421452,0.960632682,Right,thumb_up
-0.062256206,0.028698394,0.028698394,0.997151375,Right,thumb_up
-0.060146298,0.035674833,0.035674833,0.997891068,Right,thumb_up
-0.050853081,0.032309838,0.032309838,0.996702731,Right,thumb_up
-0.051212266,0.031962726,0.031962726,0.989073038,Right,thumb_up
-0.054058827,0.03309625,0.03309625,0.98448348,Right,thumb_up
-0.053038891,0.032489091,0.032489091,0.989127636,Right,thumb_up
-0.05386626,0.032129284,0.032129284,0.986739635,Right,thumb_up
-0.054291096,0.031176977,0.031176977,0.988514662,Right,thumb_up
-0.05431933,0.032362901,0.032362901,0.988630593,Right,thumb_up
-0.05433362,0.033068057,0.033068057,0.990648389,Right,thumb_up
-0.058872271,0.032827169,0.032827169,0.989128947,Right,thumb_up
-0.056687854,0.031349834,0.031349834,0.989034474,Right,thumb_up
-0.056817334,0.03099848,0.03099848,0.987849176,Right,thumb_up
-0.058182053,0.031608187,0.031608187,0.987430871,Right,thumb_up
-0.058644623,0.031593882,0.031593882,0.986096859,Right,thumb_up
-0.056205977,0.030452542,0.030452542,0.98897475,Right,thumb_up
-0.055751909,0.030914219,0.030914219,0.988958895,Right,thumb_up
-0.056748074,0.030592479,0.030592479,0.990675867,Right,thumb_up
-0.056161478,0.031468693,0.031468693,0.988994181,Right,thumb_up
-0.05463431,0.029426526,0.029426526,0.991037607,Right,thumb_up
-0.054401554,0.029345322,0.029345322,0.987507284,Right,thumb_up
-0.054364234,0.02914992,0.02914992,0.990274251,Right,thumb_up
-0.053278994,0.028830018,0.028830018,0.990137815,Right,thumb_up
-0.051847361,0.028386435,0.028386435,0.992130995,Right,thumb_up
-0.052436598,0.028134227,0.028134227,0.991887748,Right,thumb_up
-0.049392208,0.028390827,0.028390827,0.9927122,Right,thumb_up
-0.049845435,0.029515905,0.029515905,0.99274224,Right,thumb_up
-0.050824277,0.031240523,0.031240523,0.993471324,Right,thumb_up
-0.048202634,0.031604461,0.031604461,0.995232224,Right,thumb_up
-0.049962044,0.030371476,0.030371476,0.994918585,Right,thumb_up
-0.051331725,0.032205809,0.032205809,0.994101644,Right,thumb_up
-0.051477369,0.031909406,0.031909406,0.993149459,Right,thumb_up
-0.053393345,0.032902732,0.032902732,0.992653072,Right,thumb_up
-0.05293436,0.031960063,0.031960063,0.992738366,Right,thumb_up
-0.052380975,0.03081936,0.03081936,0.992152035,Right,thumb_up
-0.05275403,0.032890368,0.032890368,0.991679847,Right,thumb_up
-0.054442029,0.031857617,0.031857617,0.992681026,Right,thumb_up
-0.052553505,0.032218926,0.032218926,0.994259417,Right,thumb_up
-0.055690546,0.031510971,0.031510971,0.993861079,Right,thumb_up
-0.050796513,0.030984299,0.030984299,0.993992329,Right,thumb_up
-0.053280428,0.032097496,0.032097496,0.994806588,Right,thumb_up
-0.053633992,0.031056615,0.031056615,0.99456203,Right,thumb_up
-0.052680053,0.029951412,0.029951412,0.993407845,Right,thumb_up
-0.054484893,0.029662333,0.029662333,0.993037343,Right,thumb_up
-0.052588899,0.030533919,0.030533919,0.993652821,Right,thumb_up
-0.05217943,0.030522373,0.030522373,0.994618595,Right,thumb_up
-0.052497748,0.030671738,0.030671738,0.994191706,Right,thumb_up
-0.053465117,0.03169246,0.03169246,0.995254695,Right,thumb_up
-0.052339744,0.031036973,0.031036973,0.995005131,Right,thumb_up
-0.052797481,0.031373788,0.031373788,0.995678723,Right,thumb_up
-0.052332573,0.030034158,0.030034158,0.994903982,Right,thumb_up
-0.051368318,0.030580552,0.030580552,0.994007707,Right,thumb_up
-0.052812014,0.031211188,0.031211188,0.994807005,Right,thumb_up
-0.052884508,0.031162545,0.031162545,0.993823588,Right,thumb_up
-0.050952051,0.029448502,0.029448502,0.993555367,Right,thumb_up
-0.052041408,0.029972568,0.029972568,0.992671907,Right,thumb_up
